['U Craiova 1948 SA CFR Cluj'],39%,4.0 3.25 4.2,2022-07-18T17:58:38.120551,2022-07-18T17:58:38.120551,0.0
['Mioveni Farul Constanța'],39%,3.3 3.1 3.0,2022-07-18T17:58:38.121553,2022-07-18T17:58:38.121553,0.0
['Rapid Bucureşti FCSB'],39%,3.5 3.35 3.5,2022-07-18T17:58:38.122590,2022-07-18T17:58:38.122590,0.0
['Petrolul Ploieşti SC FC Voluntari SA'],39%,2.6 3.15 3.9,2022-07-18T17:58:38.123639,2022-07-18T17:58:38.123639,0.0
['Petrolul Ploieşti SC FC Voluntari SA'],39%,2.6 3.1 3.5,2022-07-18T17:58:38.124636,2022-07-18T17:58:38.124636,0.0
['SC FC Voluntari SA FC Botoşani'],39%,2.78 3.05 4.0,2022-07-18T17:58:38.125636,2022-07-18T17:58:38.125636,0.0
['AFC UTA Arad Petrolul Ploieşti'],39%,2.6 3.15 3.9,2022-07-18T17:58:38.126635,2022-07-18T17:58:38.126635,0.0
['SC FC Voluntari SA FC Botoşani'],39%,2.8 3.0 4.0,2022-07-18T17:58:38.155628,2022-07-18T17:58:38.155628,0.0
['FC Petrolul Ploiesti FC Voluntari'],39%,2.78 2.9 4.0,2022-07-18T17:58:38.157552,2022-07-18T17:58:38.157552,0.0
['FC Petrolul Ploiesti FC Voluntari'],39%,2.5 3.0 4.0,2022-07-18T17:58:38.158552,2022-07-18T17:58:38.158552,0.0
['SC FC Voluntari SA FC Botoşani'],39%,2.78 3.0 4.0,2022-07-18T17:58:38.159553,2022-07-18T17:58:38.159553,0.0
['SC FC Voluntari SA FC Botoşani'],39%,2.75 3.0 4.0,2022-07-18T17:58:38.160643,2022-07-18T17:58:38.160643,0.0
['Chindia Târgovişte AFC Hermannstadt'],39%,2.6 3.0 3.6,2022-07-18T17:58:38.161636,2022-07-18T17:58:38.161636,0.0
['AFC UTA Arad Petrolul Ploieşti'],39%,2.5 3.15 3.9,2022-07-18T17:58:38.162643,2022-07-18T17:58:38.162643,0.0
"['Botosani', 'Chindia Targ.']",39%,2.78 2.9 4.0,2022-07-18T17:58:38.163650,2022-07-18T17:58:38.163650,0.0
"['Botosani', 'Chindia Targ.']",39%,2.5 3.0 4.0,2022-07-18T17:58:38.164653,2022-07-18T17:58:38.164653,0.0
['FC Botoşani Chindia Târgovişte'],39%,2.6 2.9 4.0,2022-07-18T17:58:38.165657,2022-07-18T17:58:38.165657,0.0
